345.25,-35.00,58.00,-11.960,-13.080,5.990
127577,345.31,-34.38,57.38,-9.950,-9.470,5.400
127589,345.63,-33.63,56.94,-8.810,-8.160,4.680
127601,346.06,-33.00,56.50,-5.760,-6.630,3.860
127615,346.50,-32.31,56.06,-3.980,-5.460,3.820
127627,347.12,-31.19,55.19,1.590,-2.240,3.080
127639,347.06,-30.88,54.81,3.160,-2.400,4.680
127651,346.44,-31.00,54.63,5.670,0.350,4.030
127665,345.88,-31.19,54.44,-2.050,-4.090,3.280
127677,345.31,-32.13,54.75,1.470,-2.440,2.210
127690,344.94,-32.44,54.94,1.970,-3.160,4.800
127702,344.75,-32.63,55.12,0.630,-3.650,3.980
127716,344.56,-32.88,55.31,-0.150,-5.880,3.090
127728,343.44,-33.75,55.56,-1.480,-7.970,4.210
127740,343.06,-34.25,55.69,-4.060,-8.480,4.360
127752,342.81,-34.69,55.94,-6.200,-9.880,4.170
127766,342.56,-35.13,56.19,-8.480,-11.680,6.680
127778,342.50,-35.81,56.63,-13.180,-12.550,6.970
127790,342.56,-36.06,56.81,-15.570,-12.480,7.240
127802,342.69,-36.00,56.75,-16.780,-13.670,5.290
127816,342.50,-35.94,56.56,-17.080,-12.560,6.170
127828,342.31,-35.19,55.75,-11.360,-11.450,5.310
127840,342.50,-34.31,55.12,-13.060,-11.800,4.820
127852,342.87,-33.56,54.50,-10.090,-8.980,3.590
127866,343.19,-32.81,54.00,-7.400,-7.690,5.310
127902,344.37,-30.12,52.19,-0.670,-2.090,3.520
127916,344.13,-29.75,51.88,2.220,-1.400,4.120
127928,343.00,-29.69,51.56,3.410,-1.610,4.050
127940,342.75,-30.00,51.50,0.110,-3.520,1.890
127952,342.56,-30.31,51.50,2.510,-3.610,2.890
127966,342.25,-30.44,51.56,3.550,-2.950,5.190
127978,342.19,-30.56,51.75,0.190,-6.040,3.840
127991,341.81,-30.81,51.75,-0.130,-6.890,3.560
128003,341.25,-31.31,51.75,-1.290,-5.720,4.340
128017,340.87,-31.75,51.81,-4.810,-7.050,3.630
128029,340.25,-32.81,52.13,-8.410,-9.230,4.580
128041,340.12,-33.31,52.31,-9.550,-10.140,6.470
128053,340.06,-33.63,52.44,-13.120,-12.130,7.210
128067,339.81,-34.06,52.56,-15.440,-12.100,8.920
128079,339.38,-34.38,52.31,-14.670,-13.200,7.510
128091,339.00,-34.38,52.06,-13.630,-11.550,7.330
128103,338.81,-34.06,51.63,-11.870,-11.390,6.140
128117,338.75,-33.38,51.06,-9.770,-11.000,5.030
128129,339.31,-31.87,50.00,-4.740,-8.400,5.100
128141,339.63,-31.12,49.50,-5.460,-7.170,7.650
128153,340.12,-30.44,49.13,-2.170,-3.850,6.440
128167,340.50,-29.69,48.75,-1.750,-2.420,5.660
128179,340.50,-28.69,48.19,2.610,-1.150,5.850
128191,340.06,-28.50,48.00,4.570,-0.010,5.270
128203,339.75,-28.50,47.88,1.220,-1.720,4.050
128217,339.63,-28.75,47.81,-2.720,-3.860,2.210
128229,339.12,-29.31,47.69,2.410,-3.100,5.460
128242,338.81,-29.44,47.69,2.700,-2.620,5.960
128254,338.56,-29.44,47.69,1.510,-2.590,5.800
128268,338.37,-29.56,47.81,-1.790,-5.200,4.590
128280,337.12,-30.44,48.13,-2.130,-4.600,5.720
128292,336.56,-31.00,48.31,-2.950,-5.040,5.880
128304,336.06,-31.56,48.50,-7.570,-7.120,6.180
