E (293) gpio: gpio_pullup_en(78): GPIO number error (input-only pad has no internal PU)
E (294) gpio: gpio_pullup_en(78): GPIO number error (input-only pad has no internal PU)
M5StickCPlus initializing...OK
=== BNO055 UDP STREAMER START ===
Wire.begin done
BNO055 init OK
Using external crystal
Connecting to WiFi: DPSLab
...
WiFi connected.
192.168.0.48
t_ms,roll,pitch,yaw,ax,ay,az
6086,0.00,0.00,0.00,0.000,0.000,0.000
6123,0.00,0.00,0.00,0.000,0.000,0.000
6135,0.00,0.00,0.00,0.000,0.000,0.000
6147,0.00,0.00,0.00,0.000,0.000,0.000
6159,0.00,0.00,0.00,0.000,0.000,0.000
6171,0.00,0.00,0.00,0.000,0.000,0.000
6183,0.00,0.00,0.00,0.000,0.000,0.000
6195,0.00,0.00,0.00,0.000,0.000,0.000
6207,0.00,0.00,0.00,0.000,0.000,0.000
6219,0.00,0.00,0.00,0.000,0.000,0.000
6231,0.00,0.00,0.00,0.000,0.000,0.000
6243,0.00,0.00,0.00,0.000,0.000,0.000
6255,0.00,0.00,0.00,0.000,0.000,0.000
6267,0.00,0.00,0.00,0.000,0.000,0.000
6279,0.00,0.00,0.00,0.000,0.000,0.000
6291,0.00,0.00,0.00,0.000,0.000,0.000
6303,0.00,0.00,0.00,0.000,0.000,0.000
6315,0.00,0.00,0.00,0.000,0.000,0.000
6327,0.00,0.00,0.00,0.000,0.000,0.000
6339,0.00,0.00,0.00,0.000,0.000,0.000
6351,0.00,0.00,0.00,0.000,0.000,0.000
6363,0.00,0.00,0.00,0.000,0.000,0.000
6375,0.00,0.00,0.00,0.000,0.000,0.000
6387,0.00,0.00,0.00,0.000,0.000,0.000
6399,0.00,0.00,0.00,0.000,0.000,0.000
6411,0.00,0.00,0.00,0.000,0.000,0.000
6423,0.00,0.00,0.00,0.000,0.000,0.000
6435,0.00,0.00,0.00,0.000,0.000,0.000
6447,0.00,0.00,0.00,0.000,0.000,0.000
6459,0.00,0.00,0.00,0.000,0.000,0.000
6471,0.00,0.00,0.00,0.000,0.000,0.000
6483,0.00,0.00,0.00,0.000,0.000,0.000
6495,0.00,0.00,0.00,0.000,0.000,0.000
6507,0.00,0.00,0.00,0.000,0.000,0.000
6519,0.00,0.00,0.00,0.000,0.000,0.000
6531,0.00,0.00,0.00,0.000,0.000,0.000
6543,0.00,0.00,0.00,0.000,0.000,0.000
6555,0.00,0.00,0.00,0.000,0.000,0.000
6567,0.00,0.00,0.00,0.000,0.000,0.000
6579,0.00,0.00,0.00,0.000,0.000,0.000
6591,0.00,0.00,0.00,0.000,0.000,0.000
6603,0.00,0.00,0.00,0.000,0.000,0.000
6615,0.00,0.00,0.00,0.000,0.000,0.000
6627,0.00,0.00,0.00,0.000,0.000,0.000
6639,0.00,0.00,0.00,0.000,0.000,0.000
6651,0.00,0.00,0.00,0.000,0.000,0.000
6663,0.00,0.00,0.00,0.000,0.000,0.000
6675,0.00,0.00,0.00,0.000,0.000,0.000
6687,0.00,0.00,0.00,0.000,0.000,0.000
6699,0.00,0.00,0.00,0.000,0.000,0.000
6711,0.00,0.00,0.00,0.000,0.000,0.000
6723,0.00,0.00,0.00,0.000,0.000,0.000
6735,0.00,0.00,0.00,0.000,0.000,0.000
6747,0.00,0.00,0.00,0.000,0.000,0.000
6759,0.00,0.00,0.00,0.000,0.000,0.000
6771,0.00,0.00,0.00,0.000,0.000,0.000
6783,0.00,0.00,0.00,0.000,0.000,0.000
6795,0.00,0.00,0.00,0.000,0.000,0.000
6807,0.00,0.00,0.00,0.000,0.000,0.000
6819,0.00,0.00,0.00,0.000,0.000,0.000
6831,0.00,0.00,0.00,0.000,0.000,0.000
6843,0.00,0.00,0.00,0.000,0.000,0.000
6855,0.00,0.00,0.00,0.000,0.000,0.000
6867,0.00,0.00,0.00,0.000,0.000,0.000
6879,0.00,0.00,0.00,0.000,0.000,0.000
6891,0.00,0.00,0.00,0.000,0.000,0.000
6903,0.00,0.00,0.00,0.000,0.000,0.000
6915,0.00,0.00,0.00,0.000,0.000,0.000
6927,0.00,0.00,0.00,0.000,0.000,0.000
6939,0.00,0.00,0.00,0.000,0.000,0.000
6951,0.00,0.00,0.00,0.000,0.000,0.000
6963,0.00,0.00,0.00,0.000,0.000,0.000
6975,0.00,0.00,0.00,0.000,0.000,0.000
6987,0.00,0.00,0.00,0.000,0.000,0.000
6999,0.00,0.00,0.00,0.000,0.000,0.000
7011,0.00,0.00,0.00,0.000,0.000,0.000
7023,0.00,0.00,0.00,0.000,0.000,0.000
7035,0.00,0.00,0.00,0.000,0.000,0.000
7047,0.00,0.00,0.00,0.000,0.000,0.000
7059,0.00,0.00,0.00,0.000,0.000,0.000
7071,0.00,0.00,0.00,0.000,0.000,0.000
7083,0.00,0.00,0.00,0.000,0.000,0.000
7095,0.00,0.00,0.00,0.000,0.000,0.000
7131,0.00,0.00,0.00,0.000,0.000,0.000
7143,0.00,0.00,0.00,0.000,0.000,0.000
7155,0.00,0.00,0.00,0.000,0.000,0.000
7167,0.00,0.00,0.00,0.000,0.000,0.000
7179,0.00,0.00,0.00,0.000,0.000,0.000
7191,0.00,0.00,0.00,0.000,0.000,0.000
7203,0.00,0.00,0.00,0.000,0.000,0.000
7215,0.00,0.00,0.00,0.000,0.000,0.000
7227,0.00,0.00,0.00,0.000,0.000,0.000
7239,0.00,0.00,0.00,0.000,0.000,0.000
7251,0.00,0.00,0.00,0.000,0.000,0.000
7263,0.00,0.00,0.00,0.000,0.000,0.000
7275,0.00,0.00,0.00,0.000,0.000,0.000
7287,0.00,0.00,0.00,0.000,0.000,0.000
