265.81,-45.94,9.81,-6.970,-1.820,6.140
121779,266.25,-45.88,10.19,-6.940,-0.990,6.680
121791,266.69,-45.69,10.56,-6.940,-0.450,5.200
121805,267.06,-45.75,11.00,-7.600,-0.820,5.720
121817,267.62,-46.00,11.81,-7.370,-1.100,7.390
121855,268.37,-46.06,12.81,-7.560,-1.600,7.150
121868,268.19,-46.13,12.69,-7.440,-1.840,7.860
121880,268.12,-46.06,12.69,-7.810,-2.020,8.040
121892,268.12,-45.81,12.69,-7.810,-1.280,8.120
121906,268.44,-45.50,12.94,-8.970,-0.890,8.830
121918,269.31,-44.88,13.38,-7.040,-1.510,8.880
121930,269.75,-44.50,13.56,-8.030,-2.110,9.120
121942,270.50,-44.06,13.75,-7.610,-1.740,9.470
121956,271.13,-43.69,13.94,-8.150,-3.000,10.540
121968,273.62,-43.06,14.94,-9.170,5.010,13.580
121980,278.44,-42.94,18.44,-18.070,-4.580,14.450
121992,283.44,-44.06,22.25,-0.140,-10.450,3.460
122006,284.00,-46.00,21.37,5.560,1.250,4.210
122018,289.06,-43.94,24.87,-8.890,-5.310,13.550
122030,289.87,-43.00,24.56,-6.620,-4.630,9.840
122042,290.56,-41.88,24.63,-7.000,-4.950,5.630
122056,291.50,-40.38,25.12,-6.530,-4.920,7.480
122068,291.81,-37.25,24.56,-5.170,-6.720,10.960
122080,291.31,-35.38,24.06,-5.420,-5.700,9.870
122092,290.87,-33.50,24.06,-5.250,-6.320,11.150
122106,290.31,-31.62,24.50,-3.920,-0.400,14.420
122118,292.75,-27.81,27.81,-5.830,1.430,15.040
122130,293.37,-26.31,27.81,-2.580,-2.670,10.490
122142,292.62,-24.87,26.44,-1.750,-2.910,11.790
122156,291.94,-23.12,25.00,-3.130,-4.960,9.950
122168,290.69,-18.94,22.56,-3.440,-1.190,12.700
122180,290.38,-17.06,21.69,-2.810,0.070,11.430
122192,289.69,-15.25,20.44,-1.680,-1.360,11.930
122206,289.00,-13.44,18.94,-1.260,-1.860,9.770
122218,289.56,-9.44,16.69,-2.970,-1.390,9.030
122231,290.12,-7.44,15.44,-4.960,-2.080,7.650
122243,289.87,-5.50,13.88,-7.400,-3.460,7.950
122257,289.31,-4.00,12.37,-5.410,-4.110,6.950
122269,288.56,-2.87,10.75,-0.420,-1.400,5.730
122281,289.69,-3.06,10.63,2.360,1.310,6.080
122293,290.19,-3.25,10.31,2.490,0.050,6.420
122307,291.38,-3.00,10.06,0.980,-1.070,5.450
122319,291.94,-1.44,9.19,-1.800,0.910,7.420
122331,292.31,-0.44,8.94,-6.460,-0.510,9.890
122343,294.00,-0.31,8.75,-6.210,-5.400,6.000
122357,293.37,-0.25,8.38,-1.690,1.390,7.620
122369,291.25,-0.37,7.19,1.340,6.100,9.380
122381,291.25,-0.44,6.37,-1.760,-2.010,6.630
122393,291.00,-0.31,5.12,-2.690,-1.920,8.280
122407,290.44,-0.19,4.12,-2.090,-1.090,7.610
122419,288.31,-0.13,2.69,-0.060,-2.040,6.560
122431,287.81,-0.19,2.50,-1.020,-2.010,7.270
122443,287.75,-0.31,2.75,-1.520,-2.250,7.500
122457,287.69,-0.50,3.00,-1.340,-1.990,8.790
122469,287.50,-1.06,3.87,-1.010,-1.170,9.580
122482,287.25,-1.19,4.25,-1.440,0.510,10.140
122494,286.94,-1.19,4.50,-3.120,1.690,11.170
122508,286.44,-1.12,4.44,-2.950,1.310,11.900
122520,284.25,-0.81,3.31,-1.790,-1.050,9.490
122532,283.00,-0.88,2.44,-1.800,-1.390,9.380
122544,282.06,-1.06,1.69,-1.900,-0.990,9.720
122558,281.25,-1.44,1.00,-1.460,-0.940,9.700
122570,279.69,-2.44,-0.37,-0.820,-1.890,9.200
122582,279.44,-3.06,-0.94,-1.370,-2.020,9.080
122594,279.31,-3.87,-1.44,-1.390,-1.420,9.580
122608,279.00,-4.75,-1.94,-0.420,-13.720,4.770
122620,276.31,-6.62,-4.31,7.430,12.240,9.670
122632,276.81,-7.31,-4.25,-2.610,-6.800,5.650
122644,278.44,-7.94,-3.50,-2.630,-5.390,6.020
122658,278.25,-8.38,-3.00,-0.180,0.790,8.600
122670,276.25,-8.75,-2.50,-4.110,-0.420,9.220
122682,273.19,-8.06,-3.00,1.630,1.680,11.680
122694,269.31,-7.00,-4.06,0.060,1.140,9.540
122708,265.75,-6.00,-5.19,1.690,3.860,10.100
122720,259.69,-3.75,-7.56,-4.070,-0.860,8.820
122733,256.31,-2.69,-8.88,-1.690,1.480,11.030
122745,252.13,-1.50,-10.44,0.290,-0.880,9.190
122759,247.69,-0.19,-11.88,0.560,-0.120,10.480
122771,239.00,2.75,-13.94,1.640,1.800,10.340
122783,235.19,4.19,-14.25,-1.220,3.000,10.570
122795,231.56,5.44,-14.38,1.480,1.540,8.690
122809,228.06,6.31,-14.50,1.730,2.510,9.410
122821,222.94,7.31,-14.75,2.070,1.890,9.690
122859,218.19,8.63,-15.13,1.830,2.870,10.370
122871,215.87,9.06,-15.25,1.970,2.460,10.120
122883,215.25,9.13,-15.44,0.860,2.500,10.840
122895,215.00,8.94,-15.56,0.500,2.500,10.350
122909,215.00,8.69,-15.50,0.370,2.370,10.240
122921,216.00,8.06,-15.13,1.060,2.440,11.520
122934,216.94,7.75,-15.00,1.370,2.790,12.250
122946,218.25,7.50,-14.75,1.790,3.060,12.520
122960,219.75,7.44,-14.19,2.720,3.590,13.230
122972,223.19,7.87,-12.56,2.370,2.640,12.020
122984,225.25,7.94,-11.63,2.640,2.460,11.480
122996,227.81,8.00,-10.75,1.650,0.460,14.390
123010,231.06,7.94,-9.81,-0.400,2.300,14.990
123022,236.50,8.50,-8.13,-3.940,0.510,13.950
123034,237.88,9.31,-7.50,-0.480,0.160,13.260
123046,238.25,10.13,-6.50,1.940,-0.140,10.930
123060,239.00,10.50,-5.25,0.130,0.910,12.480
123072,241.31,10.38,-1.81,4.590,3.530,13.570
123084,242.62,10.06,0.13,-1.050,2.530,14.570
123096,244.56,9.69,1.87,1.860,2.870,10.110
123110,246.44,9.19,3.25,0.170,0.940,10.010
123122,252.31,8.50,5.94,-0.890,-0.940,10.000
123134,255.44,8.38,7.44,-4.930,-1.130,11.920
123146,257.00,8.44,8.75,1.850,3.130,10.630
123160,256.06,8.38,9.81,0.860,1.710,10.240
123172,252.56,8.19,11.00,2.970,0.190,9.400
123185,250.81,8.00,11.56,0.730,0.160,10.530
123197,249.06,7.87,12.37,0.990,2.130,10.070
123211,246.50,7.62,13.00,2.000,-0.620,9.830
123223,240.25,7.12,13.13,2.830,-1.320,8.620
123235,237.31,6.87,13.31,1.810,-1.840,9.120
123248,234.56,6.44,13.69,2.220,-1.560,8.950
123261,232.25,5.94,14.13,1.330,-1.030,9.200
123274,228.19,4.44,15.25,0.780,-0.120,7.790
123286,226.31,3.44,15.69,-0.180,-0.640,7.880
123298,224.69,2.37,16.00,-0.820,-1.350,8.090
123312,223.13,1.25,16.25,-1.440,-1.840,7.430
123324,219.69,-1.12,16.62,-1.270,-1.680,7.930
123336,217.87,-2.44,16.69,-0.560,-1.740,7.150
123348,216.56,-3.75,16.81,-2.340,-2.650,5.710
123362,215.25,-5.06,16.94,-2.820,-3.150,7.400
123374,213.69,-7.81,17.94,-2.040,-2.870,7.710
123386,213.00,-9.25,18.44,-2.230,-1.470,7.700
123398,212.38,-10.75,18.94,-3.580,-1.730,7.140
123412,211.75,-12.13,19.37,-3.550,-2.300,7.090
123424,210.94,-14.81,20.19,-3.280,-1.770,7.170
123436,210.69,-15.94,20.44,-4.500,-2.260,7.870
123448,210.56,-17.00,20.62,-4.010,-2.380,7.730
123462,210.38,-18.06,20.88,-3.780,-2.660,8.760
123474,209.94,-20.00,21.25,-2.900,-2.780,8.680
123486,209.69,-20.94,21.50,-2.870,-1.820,8.370
123498,209.44,-21.69,21.56,-3.160,-2.900,8.060
123512,209.25,-22.25,21.62,-4.180,-3.590,7.990
123524,209.06,-23.38,22.25,-5.100,-4.120,9.320
123536,209.00,-24.06,22.75,-4.150,-3.540,8.620
123548,209.00,-24.75,23.44,-4.130,-3.120,8.810
123562,209.06,-25.31,24.19,-4.110,-2.660,8.660
123574,209.06,-26.31,25.50,-4.130,-3.670,8.400
123586,209.00,-26.81,26.19,-3.670,-3.610,7.890
123598,209.00,-27.31,26.94,-4.690,-3.730,7.070
123612,208.87,-27.81,27.62,-4.590,-3.150,6.790
123624,208.56,-28.87,28.62,-4.670,-3.090,6.470
123636,208.31,-29.37,29.00,-3.660,-3.220,6.700
123648,208.00,-29.81,29.31,-3.650,-3.690,6.400
123662,207.69,-30.19,29.63,-4.500,-4.350,6.580
123674,206.94,-31.06,30.37,-5.250,-2.900,6.240
123686,206.50,-31.44,30.88,-5.140,-2.170,6.100
123698,206.13,-31.62,31.12,-7.000,-5.240,6.270
123712,205.87,-31.87,31.50,-6.100,-3.330,6.800
123724,205.37,-32.38,32.31,-5.750,-3.480,6.200
123737,205.25,-32.63,32.75,-5.580,-3.410,6.120
123749,205.06,-32.81,33.06,-5.800,-3.800,5.910
123763,205.00,-32.94,33.38,-5.610,-3.470,5.960
123775,204.75,-33.19,33.63,-5.640,-3.100,6.140
123787,204.56,-33.31,33.56,-4.670,-4.320,6.520
123799,204.31,-33.44,33.38,-4.530,-4.430,6.800
123813,204.00,-33.44,33.13,-4.530,-4.680,6.980
123825,203.37,-33.44,32.69,-4.980,-5.090,7.150
123863,201.31,-33.44,32.38,-4.890,-4.340,7.090
123875,200.75,-33.44,32.13,-5.020,-4.290,7.120
123887,200.44,-33.38,32.00,-5.990,-4.900,7.370
123899,199.00,-33.38,32.06,-5.980,-4.530,7.580
123913,198.75,-33.38,32.19,-5.800,-4.300,7.320
123925,198.56,-33.31,32.88,-5.930,-3.530,6.090
123937,198.62,-33.25,33.19,-6.340,-3.690,5.790
123949,197.69,-33.19,33.56,-6.440,-3.740,5.600
123963,197.87,-33.13,33.88,-6.450,-3.570,5.440
123975,198.50,-32.94,34.56,-6.680,-3.900,6.860
123988,198.81,-32.75,34.88,-7.400,-4.440,6.700
124000,197.94,-32.56,35.19,-6.080,-4.020,6.940
124014,198.19,-32.38,35.50,-5.590,-4.650,6.580
124026,199.12,-31.62,36.19,-4.660,-4.530,5.360
124038,199.69,-31.19,36.44,-4.890,-4.510,4.020
124050,199.19,-30.69,36.56,-5.720,-5.070,3.580
124064,199.75,-30.19,36.63,-5.730,-4.470,3.280
124076,201.12,-29.00,36.75,-4.890,-2.260,1.910
124088,201.94,-28.00,36.69,-5.580,-2.260,0.570
124100,201.62,-26.87,36.06,-5.060,-2.210,-0.190
124114,202.56,-25.56,35.00,-4.810,-6.000,0.980
124126,204.69,-22.37,32.88,-2.730,-5.780,1.980
124138,205.81,-20.37,31.94,2.350,-3.750,2.220
124150,207.12,-17.75,30.88,4.550,-3.920,2.560
124164,208.69,-14.19,29.63,4.410,-2.780,4.300
124176,212.00,-5.31,25.56,1.870,-2.330,9.090
124188,214.12,-0.31,23.00,-0.570,-3.040,11.180
124200,215.87,4.37,20.12,-0.490,-3.260,11.740
124214,217.19,8.75,17.31,1.440,-2.380,11.900
124226,218.44,17.12,11.81,6.960,1.640,10.110
124239,218.44,21.37,9.06,8.490,1.620,9.070
124251,218.25,25.81,6.37,7.270,-0.990,10.760
124265,218.06,30.06,3.94,7.340,-0.820,10.650
124277,218.88,36.69,0.19,8.040,-0.010,9.460
124289,219.31,39.25,-1.19,8.410,2.160,10.550
124301,219.62,41.50,-2.31,8.690,2.640,8.560
124315,219.44,43.56,-3.06,10.190,4.110,8.110
124327,219.94,47.38,-4.37,9.390,1.870,7.480
124339,220.56,49.13,-5.00,9.380,3.970,7.480
124351,221.19,50.81,-5.81,8.490,2.310,7.240
124365,221.31,52.50,-6.25,9.590,3.350,9.020
124377,222.56,55.06,-8.31,9.350,1.760,6.380
124389,223.13,56.13,-9.00,9.540,2.800,6.790
124401,223.69,57.06,-10.00,9.040,2.960,6.790
124415,223.94,58.00,-10.69,8.920,2.280,6.050
124427,223.50,59.88,-11.38,7.860,2.580,6.010
124439,223.25,60.56,-11.88,7.340,1.960,5.990
124451,223.06,61.13,-12.13,7.220,1.250,6.390
124465,222.88,61.56,-12.44,7.560,0.990,5.950
124477,223.19,61.81,-13.38,6.950,0.910,5.780
124490,223.44,61.69,-13.69,7.150,1.350,5.770
124502,223.69,61.50,-13.88,7.160,1.910,5.340
124516,223.81,61.31,-13.75,7.220,2.170,5.400
124528,223.87,61.00,-13.19,7.160,3.170,6.310
124540,223.75,60.81,-13.06,6.940,1.510,7.060
124552,223.75,60.50,-13.06,6.750,1.330,7.290
124566,224.00,59.88,-13.25,6.480,1.060,7.230
124578,225.31,58.00,-13.81,5.400,-0.880,6.040
124590,226.37,56.56,-13.75,5.750,0.400,5.890
124602,227.69,54.75,-13.69,5.040,1.440,5.300
124616,228.69,52.88,-13.31,5.690,1.520,6.360
124628,228.94,49.88,-10.56,10.740,3.560,5.720
124640,229.00,48.81,-9.56,9.730,3.960,6.080
124652,229.25,47.94,-9.13,8.600,2.470,6.230
124666,229.25,47.38,-8.81,7.840,1.770,6.530
124678,228.81,46.19,-8.19,4.920,0.690,6.350
124690,228.62,45.25,-8.00,5.680,0.270,6.160
124702,228.44,44.31,-7.75,6.330,-0.130,6.000
124716,228.31,43.38,-7.37,6.770,0.410,6.310
124728,228.50,41.31,-6.75,6.140,1.280,7.420
124741,228.44,40.25,-6.44,6.090,0.860,7.330
124753,228.37,39.25,-6.12,5.120,1.280,7.750
124767,228.31,38.00,-5.81,5.440,1.400,8.260
124779,227.56,35.81,-5.06,5.700,1.200,8.830
124791,227.19,34.81,-4.50,5.610,1.170,8.460
124803,226.88,33.69,-4.00,3.980,-0.400,5.830
124817,226.06,32.88,-3.56,3.920,-2.880,8.020
124829,224.12,31.81,-2.19,1.750,-2.930,8.910
124867,218.75,29.25,3.25,0.010,-1.160,10.550
124879,209.12,26.94,8.25,8.610,3.510,9.680
124891,205.12,25.56,9.44,7.950,1.170,8.360
124903,202.38,23.87,10.06,4.530,-3.460,7.670
124917,202.00,22.56,10.00,5.320,-3.680,7.910
124929,205.19,20.56,9.69,3.460,-0.370,9.660
124941,207.37,19.69,9.44,7.330,1.230,8.230
124953,210.69,19.37,8.81,14.500,-1.020,5.810
124967,216.69,19.56,7.87,4.410,-1.310,9.460
124979,226.25,20.06,5.87,19.340,8.340,12.000
124991,233.81,20.50,3.19,17.790,1.150,10.050
125003,245.37,20.62,-0.75,-7.740,-8.250,8.580
125017,250.50,20.88,-3.94,-4.860,-4.020,9.210
125029,252.38,21.50,-8.38,-3.330,-4.060,11.040
125042,255.69,19.69,-10.25,-3.740,-6.090,8.900
125054,257.12,18.12,-11.19,-1.870,-5.030,10.100
