....
WiFi connected.
10.202.222.1
t_ms,roll,pitch,yaw,ax,ay,az
6789,65.87,3.56,56.75,-4.110,-13.820,1.090
6827,63.44,2.62,56.37,-2.400,-11.650,0.880
6839,62.75,2.37,56.31,-1.630,-11.610,0.910
6852,62.00,2.19,56.31,-1.670,-11.970,0.700
6865,60.56,2.00,56.19,-1.780,-12.110,0.680
6877,59.81,1.94,56.13,-1.660,-12.300,1.050
6889,59.06,1.94,56.13,-1.060,-12.210,1.720
6902,58.13,1.87,56.13,0.660,-10.270,2.730
6915,55.88,1.69,56.00,0.790,-9.220,1.980
6927,54.69,1.37,56.06,1.140,-8.430,2.510
6939,53.56,0.88,56.25,0.900,-7.970,2.600
6952,52.50,0.25,56.50,0.610,-7.590,3.150
6965,50.31,-0.88,57.13,0.450,-7.290,3.440
6977,49.25,-1.37,57.50,0.270,-7.160,3.730
6989,48.19,-1.94,57.88,0.680,-6.820,5.090
7002,47.06,-2.44,58.25,1.400,-6.570,5.840
7015,44.75,-3.62,59.13,2.960,-5.780,7.300
7027,43.56,-4.25,59.63,3.890,-5.840,8.350
7039,42.44,-4.87,60.19,4.760,-6.020,9.420
7052,41.37,-5.44,60.81,5.360,-6.370,10.370
7065,39.69,-6.44,62.00,5.940,-7.080,12.330
7077,39.00,-6.87,62.56,6.010,-7.270,12.840
7089,38.44,-7.31,63.00,6.680,-7.620,13.970
7102,38.06,-7.62,63.31,6.780,-7.480,14.220
7115,37.81,-8.13,63.63,6.560,-7.180,14.240
7127,37.94,-8.25,63.63,6.640,-6.920,14.050
7139,38.25,-8.25,63.50,6.460,-6.630,13.740
7152,38.75,-8.06,63.25,6.450,-6.170,13.300
7165,40.25,-7.56,62.50,6.150,-5.550,12.530
7177,41.19,-7.25,62.06,5.440,-5.370,11.940
7189,42.25,-6.94,61.63,4.590,-5.260,11.360
7203,43.38,-6.62,61.13,3.340,-5.210,10.390
7215,45.75,-5.87,60.06,3.220,-4.750,9.630
7227,47.00,-5.44,59.56,3.090,-4.380,8.760
7239,48.31,-4.94,59.00,2.670,-4.360,8.080
7253,49.75,-4.44,58.50,2.010,-4.240,7.310
7265,52.62,-3.31,57.50,1.480,-4.790,5.620
7278,54.06,-2.69,57.06,1.260,-5.430,5.030
7290,55.44,-2.19,56.69,1.070,-5.880,4.520
7303,56.75,-1.75,56.44,0.680,-6.170,3.900
7316,59.19,-1.19,56.13,1.450,-7.230,2.000
7328,60.38,-1.00,56.06,1.030,-8.060,1.530
7340,61.56,-0.75,56.06,-1.590,-10.520,-0.550
7353,62.88,-0.62,56.06,-2.900,-11.720,-1.820
7366,65.25,0.00,56.13,-3.470,-14.040,-3.370
7378,66.31,0.37,56.19,-6.040,-17.130,-4.760
7390,67.25,0.75,56.37,-6.750,-18.570,-4.670
7404,68.06,1.00,56.75,-6.730,-20.100,-5.330
7416,68.56,0.88,58.56,-10.540,-23.940,-4.680
7428,68.62,0.37,58.81,-10.400,-23.140,-4.410
7440,68.44,-0.13,58.87,-8.970,-21.830,-4.080
7454,67.87,-0.62,58.87,-6.410,-18.130,-3.660
7466,66.56,-1.37,58.44,-3.690,-14.470,-3.290
7478,65.81,-1.50,58.13,-2.700,-13.010,-3.570
7490,65.06,-1.56,57.81,-2.770,-12.950,-3.340
7504,64.31,-1.50,57.56,-2.250,-13.120,-2.730
7517,62.69,-1.31,56.94,-1.680,-12.660,-0.180
7529,62.00,-1.25,56.31,-2.120,-11.490,-2.050
7541,61.19,-1.19,55.81,-1.460,-10.700,-0.790
7554,60.25,-1.25,55.50,-0.510,-9.990,-0.440
7567,58.38,-1.19,54.94,-0.170,-7.700,0.150
7579,57.38,-1.06,54.81,-0.390,-7.210,0.450
7591,56.25,-0.88,54.75,0.210,-6.150,1.050
7605,55.31,-0.88,54.88,-0.110,-6.010,1.750
7617,53.44,-1.12,55.56,0.070,-5.900,2.990
7629,52.44,-1.31,56.06,0.390,-5.630,4.250
7641,51.44,-1.56,56.63,-0.010,-5.690,4.770
7655,50.38,-1.81,57.25,0.100,-5.950,5.540
7668,48.13,-2.37,58.69,3.150,-7.030,9.650
7680,46.88,-2.75,59.50,4.250,-7.460,11.200
7693,45.56,-3.19,60.38,5.120,-7.300,12.220
7706,44.31,-3.75,61.19,6.130,-6.310,13.640
7719,41.94,-5.37,63.00,6.750,-6.420,14.360
7731,40.81,-6.12,63.87,8.060,-7.220,16.100
7743,39.88,-6.81,64.69,8.720,-7.710,16.910
7756,39.13,-7.37,65.31,8.770,-8.390,17.410
7769,38.38,-8.00,66.06,8.530,-8.860,17.170
7781,38.31,-8.13,66.19,8.360,-9.020,16.990
7793,38.50,-8.13,66.12,7.790,-9.130,16.500
7830,41.44,-6.94,64.12,4.880,-7.620,13.090
7842,42.44,-6.50,63.31,4.160,-6.030,11.630
7856,43.44,-6.12,62.50,4.140,-5.340,11.040
7868,45.56,-5.50,61.00,3.180,-4.440,9.860
7880,46.75,-5.19,60.31,2.360,-4.110,8.790
7892,47.94,-4.81,59.63,1.650,-4.240,8.080
7906,49.19,-4.31,59.00,0.860,-4.450,7.450
7918,51.63,-3.37,57.69,0.800,-4.900,5.830
7931,52.81,-2.87,57.13,0.650,-5.060,5.370
7943,53.94,-2.50,56.69,0.020,-5.110,4.640
7956,55.00,-2.12,56.31,-0.010,-5.160,3.180
7969,57.19,-1.19,55.69,0.350,-6.010,2.380
7981,58.31,-0.50,55.38,2.970,-6.100,1.950
7993,59.50,0.31,55.12,2.680,-8.320,1.140
8006,60.69,1.19,54.94,3.510,-9.520,0.380
8019,63.00,1.56,55.19,-1.890,-13.870,-3.860
8031,63.87,1.06,55.63,-4.100,-14.320,-5.730
8043,64.87,0.31,56.19,-6.090,-15.310,-6.680
8057,65.87,-0.19,56.88,-8.030,-16.650,-9.700
8069,67.69,-0.62,58.63,-9.830,-23.120,-6.120
8081,68.19,-0.31,58.87,-10.020,-24.280,-5.580
8093,68.37,-0.13,59.06,-10.610,-23.690,-6.070
8107,68.12,-0.13,59.13,-9.590,-22.240,-5.860
8120,66.56,-0.69,59.19,-5.450,-17.970,-5.240
8132,66.00,-1.50,58.94,-4.150,-14.000,-5.290
8144,65.19,-2.12,58.75,-2.310,-13.200,-5.480
8157,64.31,-2.50,58.50,-2.710,-12.030,-5.450
8170,62.69,-2.81,58.06,-1.900,-13.100,-4.010
8182,61.94,-2.75,57.81,-1.460,-12.670,-3.350
8194,61.25,-2.69,57.44,-0.870,-12.190,-1.520
8207,60.63,-2.50,56.63,-1.840,-8.890,-3.060
8220,58.13,-1.50,55.44,-1.210,-7.340,-2.830
