frame,t_ms,wrist_x,wrist_y,index_mcp_x,index_mcp_y,middle_mcp_x,middle_mcp_y,ring_mcp_x,ring_mcp_y,hand_score,handedness
0,0.000,,,,,,,,,,
1,182.911,,,,,,,,,,
2,216.233,,,,,,,,,,
3,249.544,,,,,,,,,,
4,282.856,,,,,,,,,,
5,316.178,,,,,,,,,,
6,349.489,,,,,,,,,,
7,382.800,,,,,,,,,,
8,416.122,,,,,,,,,,
9,449.433,,,,,,,,,,
10,482.744,,,,,,,,,,
11,516.056,,,,,,,,,,
12,549.378,,,,,,,,,,
13,582.689,,,,,,,,,,
14,616.000,,,,,,,,,,
15,649.322,,,,,,,,,,
16,682.633,,,,,,,,,,
17,715.944,,,,,,,,,,
18,749.267,,,,,,,,,,
19,782.578,,,,,,,,,,
20,815.889,,,,,,,,,,
21,849.211,,,,,,,,,,
22,882.522,,,,,,,,,,
23,915.833,,,,,,,,,,
24,949.156,,,,,,,,,,
25,982.467,,,,,,,,,,
26,1015.778,,,,,,,,,,
27,1049.100,,,,,,,,,,
28,1082.411,,,,,,,,,,
29,1115.722,,,,,,,,,,
30,1149.044,,,,,,,,,,
31,1182.356,,,,,,,,,,
32,1215.667,,,,,,,,,,
33,1248.978,,,,,,,,,,
34,1282.300,,,,,,,,,,
35,1315.611,,,,,,,,,,
36,1348.922,,,,,,,,,,
37,1382.244,,,,,,,,,,
38,1415.556,,,,,,,,,,
39,1448.867,,,,,,,,,,
40,1482.189,,,,,,,,,,
41,1515.500,,,,,,,,,,
42,1548.811,0.127247,0.971676,0.066729,0.787281,0.073786,0.848181,0.079661,0.917647,0.9289,Left
43,1582.133,0.136809,1.021700,0.073588,0.810504,0.057562,0.862133,0.046495,0.916841,0.8833,Right
44,1615.444,0.157222,1.051782,0.094323,0.827508,0.071956,0.874346,0.057376,0.927432,0.8899,Right
45,1648.756,0.173063,1.056143,0.101693,0.841016,0.098435,0.855465,0.098342,0.889224,0.7710,Left
46,1682.078,0.199532,1.055485,0.128697,0.843017,0.137949,0.886087,0.144387,0.948877,0.9717,Left
47,1715.389,0.215392,1.075653,0.146567,0.876442,0.156055,0.922964,0.163098,0.983510,0.9776,Left
48,1748.700,0.231723,1.076338,0.163387,0.887701,0.173095,0.924091,0.178440,0.977312,0.9860,Left
49,1782.022,0.238846,1.093489,0.179127,0.917427,0.188042,0.946085,0.193638,0.994519,0.9838,Left
50,1815.333,0.248362,1.103869,0.198146,0.924197,0.201849,0.956719,0.201063,1.005491,0.9854,Left
51,1848.644,0.249350,1.108869,0.202407,0.930824,0.208992,0.950923,0.209068,0.988193,0.9890,Left
52,1881.956,0.252059,1.125950,0.215526,0.939416,0.220623,0.962392,0.218386,1.001458,0.9797,Left
53,1915.278,0.260112,1.134488,0.221546,0.949592,0.228245,0.966021,0.224638,0.996641,0.9845,Left
54,1948.589,0.272272,1.137404,0.228462,0.953585,0.229871,0.975533,0.224521,1.010266,0.9836,Left
55,1981.900,0.267900,1.144603,0.230200,0.955444,0.232368,0.975253,0.226834,1.009081,0.9571,Left
56,2015.222,0.271517,1.144493,0.232272,0.957816,0.232473,0.981309,0.226329,1.016116,0.9308,Left
57,2048.533,0.239811,0.972934,0.179398,0.885245,0.184006,0.904162,0.187323,0.929484,0.9536,Left
58,2081.844,0.286080,1.120131,0.227037,0.956320,0.230323,0.963541,0.226413,0.988265,0.9803,Left
59,2115.167,0.230098,1.001731,0.172616,0.895404,0.167121,0.899148,0.162102,0.915275,0.9781,Left
