t_ms,roll,pitch,yaw,ax,ay,az
6788,321.87,20,26.56,3.6,-3.89,7.26
6807,321.935,20.125,26.655,3.505,-3.84,7.185
6826,322,20.25,26.75,3.41,-3.79,7.11
6832.5,322.03,20.31,26.78,3.385,-3.785,7.085
6839,322.06,20.37,26.81,3.36,-3.78,7.06
6845.5,322.09,20.435,26.905,3.315,-3.81,7.145
6852,322.12,20.5,27,3.27,-3.84,7.23
6858,322.155,20.53,27.065,3.24,-3.825,7.28
6864,322.19,20.56,27.13,3.21,-3.81,7.33
6870.5,322.22,20.59,27.19,3.195,-3.79,7.355
6877,322.25,20.62,27.25,3.18,-3.77,7.38
6883,322.25,20.62,27.28,3.185,-3.75,7.415
6889,322.25,20.62,27.31,3.19,-3.73,7.45
6895.5,322.28,20.655,27.375,3.19,-3.735,7.495
6902,322.31,20.69,27.44,3.19,-3.74,7.54
6908,322.34,20.69,27.47,3.145,-3.75,7.575
6914,322.37,20.69,27.5,3.1,-3.76,7.61
6920.5,322.405,20.72,27.5,3.045,-3.8,7.71
6927,322.44,20.75,27.5,2.99,-3.84,7.81
6933,322.44,20.78,27.53,3.02,-3.88,7.835
6939,322.44,20.81,27.56,3.05,-3.92,7.86
6945,322.44,20.845,27.56,3.125,-3.965,7.975
6951,322.44,20.88,27.56,3.2,-4.01,8.09
6957.5,322.44,20.88,27.56,3.365,-4.165,8.36
6964,322.44,20.88,27.56,3.53,-4.32,8.63
6970.5,322.405,20.845,27.56,3.545,-4.31,8.615
6977,322.37,20.81,27.56,3.56,-4.3,8.6
6983,322.37,20.81,27.56,3.56,-4.235,8.56
6989,322.37,20.81,27.56,3.56,-4.17,8.52
6995.5,322.34,20.78,27.56,3.66,-4.08,8.365
7002,322.31,20.75,27.56,3.76,-3.99,8.21
7008,322.31,20.75,27.56,3.76,-3.99,8.225
7014,322.31,20.75,27.56,3.76,-3.99,8.24
7020.5,322.28,20.75,27.53,3.72,-4.005,8.265
7027,322.25,20.75,27.5,3.68,-4.02,8.29
7033,322.25,20.75,27.5,3.69,-4.04,8.255
7039,322.25,20.75,27.5,3.7,-4.06,8.22
7045,322.25,20.75,27.5,3.65,-4.045,8.185
7051,322.25,20.75,27.5,3.6,-4.03,8.15
7057.5,322.25,20.78,27.5,3.645,-4.02,8.105
7064,322.25,20.81,27.5,3.69,-4.01,8.06
7070,322.25,20.81,27.5,3.7,-4.005,8.04
7076,322.25,20.81,27.5,3.71,-4,8.02
7082,322.25,20.81,27.53,3.695,-4.015,8
7088,322.25,20.81,27.56,3.68,-4.03,7.98
7094.5,322.25,20.81,27.56,3.61,-4.03,7.915
7101,322.25,20.81,27.56,3.54,-4.03,7.85
7107,322.25,20.78,27.56,3.48,-4.025,7.845
7113,322.25,20.75,27.56,3.42,-4.02,7.84
7119,322.25,20.72,27.56,3.41,-3.985,7.79
7125,322.25,20.69,27.56,3.4,-3.95,7.74
7131,322.25,20.655,27.56,3.575,-4,7.48
7137,322.25,20.62,27.56,3.75,-4.05,7.22
7143.5,322.25,20.62,27.56,3.725,-4.06,7.285
7150,322.25,20.62,27.56,3.7,-4.07,7.35
7156.5,322.25,20.62,27.56,3.645,-4.115,7.53
7163,322.25,20.62,27.56,3.59,-4.16,7.71
7169,322.25,20.62,27.56,3.54,-4.2,7.795
7175,322.25,20.62,27.56,3.49,-4.24,7.88
7181,322.25,20.655,27.56,3.455,-4.255,7.87
7187,322.25,20.69,27.56,3.42,-4.27,7.86
7193.5,322.28,20.69,27.53,3.425,-4.265,7.88
7200,322.31,20.69,27.5,3.43,-4.26,7.9
7206.5,322.28,20.69,27.5,3.495,-4.255,7.94
7213,322.25,20.69,27.5,3.56,-4.25,7.98
7219,322.25,20.69,27.47,3.545,-4.26,7.975
7225,322.25,20.69,27.44,3.53,-4.27,7.97
